POI ID,대명칭,중명칭,위도,경도,위도,,,,,,,,,,,,,,,,,,,X (N),Y (E),,가좌역,연남동,동교어린이공원,연트럴파크,홍대입구역 6번출구,참새방앗간 ,서강대역,서강대총동창회관,광성벤처프라자,공덕 파크자이,공덕역,브라운스톤 공덕,효창 푸르지오,효창공원역,,제한거리
102537,김안과병원,민간개방화장실,37.51984624,126.9014923,37.51984624,,,,,,,,,,,,,,,,,,,446717.071,191292.7602,,,,,,,,,,,,,,,,,
102546,약사신용조합,민간개방화장실,37.47893879,126.9596604,37.47893879,,,,,,,,,,,,,,,,,,,442173.5661,196432.3784,,,,,,,,,,,,,,,,,
102547,도시의빛2,개방,37.49492486,127.028624,37.49492486,,,,,,,,,,,,,,,,,,,443947.2395,202530.9582,,,,,,,,,,,,,,,,,
102548,대원빌딩,개방,37.50141373,127.0255229,37.50141373,,,,,,,,,,,,,,,,,,,444667.2638,202256.5611,,,,,,,,,,,,,,,,,
102549,프레스티지빌딩,개방,37.49490728,127.0303855,37.49490728,,,,,,,,,,,,,,,,,,,443945.3374,202686.7122,,,,,,,,,,,,,,,,,
102499,종이나라,개방,37.55971574,127.0060653,37.55971574,,,,,,,,,,,,,,,,,,,451137.0835,200535.8353,,,,,,,,,,,,,,,,,
102473,세영정형외과,민간개방화장실,37.47967178,126.9043144,37.47967178,,,,,,,,,,,,,,,,,,,442258.4449,191537.6772,,,,,,,,,,,,,,,,,
102474,관악농협,민간개방화장실,37.4794273,126.9027655,37.4794273,,,,,,,,,,,,,,,,,,,442231.4541,191400.6663,,,,,,,,,,,,,,,,,
102475,예가람상호은행,민간개방화장실,37.52287528,126.8879848,37.52287528,,,,,,,,,,,,,,,,,,,447054.5565,190099.2124,,,,,,,,,,,,,,,,,
102476,삼환상가제중한의원,민간개방화장실,37.52301768,126.8870138,37.52301768,,,,,,,,,,,,,,,,,,,447070.462,190013.4067,,,,,,,,,,,,,,,,,
102532,협진축산물도매시장,민간개방화장실,37.46636836,126.8962828,37.46636836,,,,,,,,,,,,,,,,,,,440782.8539,190825.7458,,,,,,,,,,,,,,,,,
102533,노보텔,민간개방화장실,37.46763548,126.8984176,37.46763548,,,,,,,,,,,,,,,,,,,440923.2663,191014.7302,,,,,,,,,,,,,,,,,
102368,연대앞공중화장실,공중,37.56007395,126.934334,37.56007395,,,,,,,,,,,,,,,,,,,451178.8455,194198.8041,,,,,,,,,,,,,,,,,
102369,홍제3공중화장실,공중,37.59454388,126.9477341,37.59454388,,,,,,,,,,,,,,,,,,,455003.4593,195384.7504,,,,,,,,,,,,,,,,,
102370,만리공중화장실,공중,37.55192071,126.9622492,37.55192071,,,,,,,,,,,,,,,,,,,450272.673,196664.5808,,,,,,,,,,,,,,,,,
102506,둔촌2동주민센터,공공기관,37.53337673,127.1419854,37.53337673,,,,,,,,,,,,,,,,,,,448223.5394,212548.0325,,,,,,,,,,,,,,,,,
102507,고덕소방관피출소,공공기관,37.55722948,127.1520237,37.55722948,,,,,,,,,,,,,,,,,,,450872.0115,213430.8928,,,,,,,,,,,,,,,,,
102406,정릉1호공중화장실,공중,37.61875963,127.0056715,37.61875963,,,,,,,,,,,,,,,,,,,457689.5855,200500.6496,,,,,,,,,,,,,,,,,
102410,새내쉼터화장실,공중,37.51211454,127.1076441,37.51211454,,,,,,,,,,,,,,,,,,,445859.9264,209515.8015,,,,,,,,,,,,,,,,,
102411,오금공원테니스장화장실,공중,37.50100892,127.1339867,37.50100892,,,,,,,,,,,,,,,,,,,444630.4663,211846.2585,,,,,,,,,,,,,,,,,
102412,개롱공원관리동화장실,공중,37.4934356,127.1300735,37.4934356,,,,,,,,,,,,,,,,,,,443789.5304,211501.4394,,,,,,,,,,,,,,,,,
102448,삼선빌딩,개방,37.55739355,126.9771022,37.55739355,,,,,,,,,,,,,,,,,,,450879.6047,197977.0448,,,,,,,,,,,,,,,,,
102449,전국은행연합회,개방,37.56509886,126.9855016,37.56509886,,,,,,,,,,,,,,,,,,,451734.5639,198719.2397,,,,,,,,,,,,,,,,,
102489,그랜드프라자,개방,37.51250139,127.119873,37.51250139,,,,,,,,,,,,,,,,,,,445904.1643,210596.7891,,,,,,,,,,,,,,,,,
102490,홍진빌딩,개방,37.50134814,127.1413487,37.50134814,,,,,,,,,,,,,,,,,,,444669.0634,212497.1039,,,,,,,,,,,,,,,,,
102562,대한생명빌딩,개방,37.5576053,126.9755279,37.5576053,,,,,,,,,,,,,,,,,,,450903.1389,197837.966,,,,,,,,,,,,,,,,,
102465,강북종합시장개방화장실,개방,37.64212355,127.0256742,37.64212355,,,,,,,,,,,,,,,,,,,460282.7524,202265.6714,,,,,,,,,,,,,,,,,
102529,은혜교회,민간개방화장실,37.50693211,126.8549246,37.50693211,,,,,,,,,,,,,,,,,,,445289.2477,187174.3614,,,,,,,,,,,,,,,,,
102531,성신고려의원,민간개방화장실,37.46672767,126.8941331,37.46672767,,,,,,,,,,,,,,,,,,,440822.9398,190635.6399,,,,,,,,,,,,,,,,,
102407,공릉동공중화장실,공중,37.62087653,127.0869649,37.62087653,,,,,,,,,,,,,,,,,,,457928.0547,207676.5782,,,,,,,,,,,,,,,,,
102408,벽운공중화장실,공중,37.68032627,127.0572177,37.68032627,,,,,,,,,,,,,,,,,,,464523.6514,205046.7042,,,,,,,,,,,,,,,,,
102466,동북쇼핑개방화장실,개방,37.62020254,127.0187468,37.62020254,,,,,,,,,,,,,,,,,,,457849.866,201654.835,,,,,,,,,,,,,,,,,
102467,적암빌딩개방화장실,개방,37.55578701,126.9399677,37.55578701,,,,,,,,,,,,,,,,,,,450702.7641,194696.2038,,,,,,,,,,,,,,,,,
102540,오송빌딩,민간개방화장실,37.48931695,126.9820822,37.48931695,,,,,,,,,,,,,,,,,,,443324.6676,198415.5746,,,,,,,,,,,,,,,,,
102541,태농빌딩,민간개방화장실,37.48288489,126.9814924,37.48288489,,,,,,,,,,,,,,,,,,,442610.8804,198363.2797,,,,,,,,,,,,,,,,,
102542,청화병원,민간개방화장실,37.50725757,126.9402524,37.50725757,,,,,,,,,,,,,,,,,,,445317.1562,194717.9355,,,,,,,,,,,,,,,,,
102419,대우메트로빌개방화장실,개방,37.54340525,126.9529258,37.54340525,,,,,,,,,,,,,,,,,,,452762.5611,190281.9437,,,,,,,,,,,,,,,,,
102420,마포창업복지관개방화장실,개방,37.57431168,126.8899766,37.57431168,,,,,,,,,,,,,,,,,,,444444.1504,195575.9234,,,,,,,,,,,,,,,,,
102421,중앙하이츠상가,민간개방화장실,37.49939541,126.9499627,37.49939541,,,,,,,,,,,,,,,,,,,443942.6162,190169.1804,,,,,,,,,,,,,,,,,
