업소명,소재지도로명,소재지지번,업태명,주된음식,행정동명
봉구비어(신촌명물거리점) 2호점,서울특별시 서대문구 명물길 41 (창천동),서울특별시 서대문구 창천동  2번지 33호  ,한식,찜닭,신촌동
사조미가,서울특별시 서대문구 통일로 107-39 2층 (충정로2가),서울특별시 서대문구 충정로2가  157번지  2층,한식,정식,충현동
사조미가,서울특별시 서대문구 통일로 107-39 2층 (충정로2가),서울특별시 서대문구 충정로2가  157번지  2층,한식,,충현동
사조미가,서울특별시 서대문구 통일로 107-39 2층 (충정로2가),서울특별시 서대문구 충정로2가  157번지  2층,한식,한정식,충현동
어머니가 구워주신 생선구이,서울특별시 서대문구 연희로 185 (연희동),서울특별시 서대문구 연희동  78번지 1호  ,한식,참치회덮밥,연희동
어머니가 구워주신 생선구이,서울특별시 서대문구 연희로 185 (연희동),서울특별시 서대문구 연희동  78번지 1호  ,한식,일식,연희동
돌깨마을 맷돌순두부,서울특별시 서대문구 연세로5가길 3 (창천동(2층)),서울특별시 서대문구 창천동  57번지 7호  (2층),분식,순두부찌개,신촌동
이화수 전통육개장,서울특별시 서대문구 충정로 18 1층 (충정로3가),서울특별시 서대문구 충정로3가  360번지 24호  1층,한식,설렁탕,충현동
정원맛집,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,한식,홍제제3동
정원맛집,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,,홍제제3동
전원오리,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,한식,홍제제3동
전원오리,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,,홍제제3동
정원맛집,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,한식,홍제제3동
정원맛집,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,,홍제제3동
전원오리,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,한식,홍제제3동
전원오리,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,,홍제제3동
만선,서울특별시 서대문구 통일로9안길 26 1층 (충정로2가),서울특별시 서대문구 충정로2가  16번지 13호  1층,한식,,충현동
육정성,서울특별시 서대문구 연희맛로 15 1~2층 (연희동),서울특별시 서대문구 연희동  189번지 7호  1~2층,한식,갈비찜,연희동
